
9	1.02755	[1.0, 1.0, 0.2870815334498145, 0.9810879315393092, 0.0, 0.5754173371655306, 0.349367023805391, 0.0, 1.0, 0.6497679913220387]
19	1.05455	[1.0, 0.0, 0.10530484735874054, 1.0, 1.0, 0.433493127406991, 0.4747737337771086, 0.7333936914538846, 1.0, 0.0]
21	1.0567166666666667	[1.0, 0.5541909840444992, 0.6686039860795542, 1.0, 1.0, 0.44536167695691353, 0.0, 0.31693238261349066, 1.0, 0.0]
53	1.0670833333333334	[1.0, 0.9510201465167625, 1.0, 1.0, 0.4767753789222936, 0.0, 0.7890346007553337, 0.15726388726014248, 0.2833207606288062, 0.21384828838897574]
184	1.07948	[0.0, 0.3236112862158407, 0.0, 0.28300664669216635, 0.7626668894869408, 1.0, 0.9728446273816387, 0.311201362755728, 1.0, 0.1436978438384739]
187	1.0836	[0.19368388419962765, 0.0, 0.0, 0.8143910438688783, 0.0, 0.7198699074504464, 1.0, 0.12731578087306678, 1.0, 0.0]
227	1.107025	[0.5152898997383383, 0.0, 0.4209827004995601, 1.0, 0.10700854270104618, 0.0, 0.26816308984713777, 0.39404159562951235, 0.44304292387971744, 0.6240974493606215]
357	1.15988	[1.0, 1.0, 0.0, 1.0, 0.26492709689474014, 0.3456988048894157, 0.4658532951414096, 0.32428722643005986, 0.3915643697157603, 0.158294086905872]
682	1.2020333333333333	[0.18183025280010856, 0.5418496869626428, 0.0, 1.0, 0.47118308697931155, 0.29205638578692017, 0.39839506772367483, 0.0, 0.0, 0.0]
918	1.2121	[0.0, 0.06878189049631078, 0.351114981755678, 1.0, 0.5064402820240266, 0.0, 0.3512085185894832, 0.0, 0.1962799338192844, 0.4612161315792441]
3624	1.3163	[0.2423775426514481, 0.1597969783803605, 0.0, 0.2504051403191927, 0.0, 0.2428328968490206, 0.0, 0.49370023243727973, 0.14623518438007416, 0.42159138005040553]
4763	1.3176	[0.22074677014615, 0.4579971443825783, 0.0, 0.22315078514634182, 0.0, 0.0, 0.49460037135595425, 0.08561852320566454, 0.48027036781117627, 0.0]
4816	1.3361	[0.14340621855457936, 0.038089134767994304, 0.01967434852776953, 0.907528059999197, 0.0, 0.0, 0.08759791693789748, 0.19904944328216412, 0.5836586999207862, 0.0]
