
36	1.041725	[0.8293684369259395, 0.6157239650489904, 1.0, 1.0, 0.5524586641442238, 1.0, 0.3174780407094624, 0.42913954518051084, 0.9867356956467561, 1.0]
44	1.0563666666666667	[0.5044576826792375, 1.0, 0.32401558540708864, 1.0, 0.5851101140637006, 1.0, 0.0, 0.0, 0.4713971892980884, 1.0]
91	1.0667	[0.4599813351712648, 1.0, 0.7709772307772371, 1.0, 0.0, 1.0, 0.0, 0.0, 0.13411655621262736, 0.4851224698053451]
108	1.1442	[1.0, 0.1933745217755498, 0.42557660303640854, 0.5382655952852363, 0.0, 0.6061372476464228, 0.04095564102391027, 0.13038141654856633, 0.7830891712686596, 0.1521869820242422]
366	1.1796	[0.2196264500345343, 0.0, 0.42958307867315765, 0.36075541297494845, 0.0, 0.20478096228893478, 0.712566396674223, 0.0, 1.0, 0.0]
800	1.183325	[0.10983608905475907, 0.1755498288311661, 0.6453391074067548, 0.0, 0.0, 0.7211464466076603, 1.0, 0.9286189779076564, 0.17700893550125874, 0.11953451266278249]
2677	1.26705	[0.5389581184618392, 0.1335856890097264, 0.6775367568898331, 0.09310819278029324, 0.0, 0.0, 0.0, 0.09253454801653671, 0.0, 0.3845005933254763]
4976	1.31335	[0.1690002188575725, 0.0, 0.0, 0.4590035682724405, 0.0, 0.057303926266423465, 0.0, 0.3778839024360548, 0.06499178821762812, 0.7804037910046928]
